,ml_metrics,technical_indicators,live_options,feature_importance,latest_prediction,expected_hold_time,expected_strike_price
XLK,"{'train_r2': 0.9266186598781435, 'test_r2': 0.962818443639317, 'mae': 1.3097648320612536, 'rmse': 1.7092174240914773}","{'symbol': 'XLK', 'sector': 'Technology', 'price': 232.82, 'volume': 4276633, 'rsi': 49.0434643793569, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'NEUTRAL', 'timestamp': '2025-02-08 00:34:38'}",{},"[{'feature': 'dema_trend', 'importance': 0.3528435234833836}, {'feature': 'hma_trend', 'importance': 0.3035323126003756}, {'feature': 'ROC_mean', 'importance': 0.1911083184647995}]","{'Actual': 1.5766902119071613, 'Predicted': 2.5917425042851248, 'Error': 1.0150522923779635}",33.42716922803295,238.85409489847663
XLF,"{'train_r2': 0.9638559688861077, 'test_r2': 0.6983237775288841, 'mae': 3.6360921815885634, 'rmse': 7.0556068132241245}","{'symbol': 'XLF', 'sector': 'Financials', 'price': 51.82, 'volume': 40601439, 'rsi': 64.71866367706153, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'BUY', 'timestamp': '2025-02-08 00:34:38'}",{},"[{'feature': 'dema_trend', 'importance': 0.31860254657286347}, {'feature': 'hma_trend', 'importance': 0.2683798423143462}, {'feature': 'ROC_mean', 'importance': 0.20607430410994526}]","{'Actual': 12.29478292593944, 'Predicted': 10.292703965312501, 'Error': -2.002078960626939}",38.71754899100827,57.15367919482494
XLE,"{'train_r2': 0.9744762484776931, 'test_r2': 0.7159073173159953, 'mae': 5.840491774401034, 'rmse': 11.28175525903951}","{'symbol': 'XLE', 'sector': 'Energy', 'price': 88.56, 'volume': 11284207, 'rsi': 45.27315415371014, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'SELL', 'timestamp': '2025-02-08 00:34:38'}",{},"[{'feature': 'dema_trend', 'importance': 0.37699180713697866}, {'feature': 'hma_trend', 'importance': 0.3235637738444445}, {'feature': 'ROC_mean', 'importance': 0.1545346428709057}]","{'Actual': 3.8215459104271154, 'Predicted': 2.201533126921837, 'Error': -1.6200127835052784}",32.15468952687717,90.50967773720198
XLV,"{'train_r2': 0.9794150235989348, 'test_r2': 0.8623481613358688, 'mae': 2.38799029406717, 'rmse': 3.1951217347832768}","{'symbol': 'XLV', 'sector': 'Healthcare', 'price': 146.43, 'volume': 11199692, 'rsi': 57.875390272869254, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'BUY', 'timestamp': '2025-02-08 00:34:39'}",{},"[{'feature': 'dema_trend', 'importance': 0.4480745585337679}, {'feature': 'hma_trend', 'importance': 0.24098646242474608}, {'feature': 'ROC_mean', 'importance': 0.19059023171565115}]","{'Actual': 14.12885154061625, 'Predicted': 10.534371391638038, 'Error': -3.594480148978212}",36.40794421709337,161.8554800287756
XLP,"{'train_r2': 0.9869952256186161, 'test_r2': 0.831252341991759, 'mae': 1.593364237754216, 'rmse': 2.5211899420951442}","{'symbol': 'XLP', 'sector': 'Consumer Staples', 'price': 79.35, 'volume': 8104061, 'rsi': 54.13155357478562, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'BUY', 'timestamp': '2025-02-08 00:34:39'}",{},"[{'feature': 'ROC_mean', 'importance': 0.3387745410633555}, {'feature': 'hma_trend', 'importance': 0.3137627964600512}, {'feature': 'dema_trend', 'importance': 0.25690307990526057}]","{'Actual': 2.8077048645119174, 'Predicted': 3.325507978356074, 'Error': 0.5178031138441566}",35.14439933149015,81.98879058082554
XLI,"{'train_r2': 0.9746609678232674, 'test_r2': 0.7512475006235579, 'mae': 3.320410649210282, 'rmse': 6.050733277352383}","{'symbol': 'XLI', 'sector': 'Industrials', 'price': 137.33, 'volume': 10408865, 'rsi': 50.530624165844934, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'BUY', 'timestamp': '2025-02-08 00:34:39'}",{},"[{'feature': 'dema_trend', 'importance': 0.423476727017612}, {'feature': 'hma_trend', 'importance': 0.27422043391741624}, {'feature': 'ROC_mean', 'importance': 0.20463095146435514}]","{'Actual': 7.522766266332326, 'Predicted': 6.191226902679733, 'Error': -1.3315393636525927}",33.92908565597266,145.83241190545007
XLB,"{'train_r2': 0.9745582786924768, 'test_r2': 0.689625184502793, 'mae': 4.587623680282496, 'rmse': 7.494349598430513}","{'symbol': 'XLB', 'sector': 'Materials', 'price': 88.29, 'volume': 6772934, 'rsi': 50.53312852622876, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'SELL', 'timestamp': '2025-02-08 00:34:40'}",{},"[{'feature': 'hma_trend', 'importance': 0.3463468822776111}, {'feature': 'dema_trend', 'importance': 0.3408051644953129}, {'feature': 'ROC_mean', 'importance': 0.2557190463305541}]","{'Actual': 8.076720042231212, 'Predicted': 5.074365829061537, 'Error': -3.002354213169675}",33.9299308776022,92.77015759047843
XLU,"{'train_r2': 0.9722151562690157, 'test_r2': 0.7531700718456784, 'mae': 2.486266486754107, 'rmse': 3.4739169662590763}","{'symbol': 'XLU', 'sector': 'Utilities', 'price': 78.14, 'volume': 7165378, 'rsi': 52.132630930959834, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'BUY', 'timestamp': '2025-02-08 00:34:40'}",{},"[{'feature': 'dema_trend', 'importance': 0.508160647206822}, {'feature': 'hma_trend', 'importance': 0.29717921854356866}, {'feature': 'ROC_mean', 'importance': 0.1465164909053372}]","{'Actual': 0.04644681839294229, 'Predicted': 0.23143247818351034, 'Error': 0.18498565979056805}",34.469762939198944,78.3208413384526
XLY,"{'train_r2': 0.9431368409039305, 'test_r2': 0.6017119946146147, 'mae': 4.597098369142644, 'rmse': 8.886701014707528}","{'symbol': 'XLY', 'sector': 'Consumer Discretionary', 'price': 225.58, 'volume': 2768250, 'rsi': 44.58591903186041, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'SELL', 'timestamp': '2025-02-08 00:34:40'}",{},"[{'feature': 'dema_trend', 'importance': 0.38062871602476017}, {'feature': 'hma_trend', 'importance': 0.2529292782596827}, {'feature': 'ROC_mean', 'importance': 0.18496943335596808}]","{'Actual': 4.787367365694717, 'Predicted': 4.30959927067016, 'Error': -0.4777680950245573}",31.92274767325289,235.30159403477776
SMH,"{'train_r2': 0.9657363505651975, 'test_r2': 0.8976767828429838, 'mae': 4.018826413896262, 'rmse': 4.843104509666306}","{'symbol': 'SMH', 'sector': 'Semiconductors', 'price': 245, 'volume': 7258908, 'rsi': 47.49728497086693, 'relative_strength': 1.0, 'ma_cross': 'NONE', 'recommendation': 'SELL', 'timestamp': '2025-02-08 00:34:40'}",{},"[{'feature': 'dema_trend', 'importance': 0.43243543705542015}, {'feature': 'hma_trend', 'importance': 0.27527282563579825}, {'feature': 'ROC_mean', 'importance': 0.16658455435958527}]","{'Actual': 19.51487491548345, 'Predicted': 20.823160036766808, 'Error': 1.3082851212833582}",32.905333677667585,296.01674209007865
